id,title,description,required_skills,preferred_skills,category,location,state,organization,education_requirement
136,Biomedical Engineering Intern,"Assist in the design and testing of medical devices","['Biomedical Engineering', 'Electronics']","['Matlab', 'Prototyping']",Engineering,Coimbatore,Tamil Nadu,BioMed Innovations,B.Tech
137,Content Marketing Intern,"Write and optimize content for SEO and digital campaigns","['Content Writing', 'SEO']","['WordPress', 'Keyword Research']",Marketing,Jaipur,Rajasthan,ContentSphere,B.A
138,HR Analytics Intern,"Analyze HR data to improve recruitment and retention strategies","['Data Analysis', 'Excel']","['SQL', 'Power BI']",HR,Remote,,TalentMetrics,MBA
139,Network Engineering Intern,"Configure and troubleshoot network devices","['Networking', 'Cisco']","['Linux', 'Wireshark']",IT,Indore,Madhya Pradesh,NetConnect,B.Tech
140,Architecture Intern,"Assist in creating architectural designs and 3D renderings","['AutoCAD', 'SketchUp']","['Revit', 'Lumion']",Design,Chandigarh,Punjab,DesignCraft Architects,B.Arch
141,DevOps Intern,"Automate software development and deployment processes","['Linux', 'Scripting']","['Docker', 'Jenkins']",IT,Bangalore,Karnataka,FlowOps,B.Tech
142,Public Health Intern,"Conduct research and assist in community health awareness programs","['Research', 'Communication']","['Data Collection', 'Public Health']",Research,Patna,Bihar,HealthFirst,B.Sc
143,Photography Intern,"Capture and edit photos for marketing and social media","['Photography', 'Photo Editing']","['Lightroom', 'Creativity']",Media,Bhopal,Madhya Pradesh,SnapShot Studios,B.A
144,Financial Analyst Intern,"Assist in preparing financial reports and market analysis","['Excel', 'Accounting']","['Power BI', 'Financial Modeling']",Finance,Chennai,Tamil Nadu,FinPulse,B.Com
145,Robotics Intern (AI),"Develop and test AI algorithms for robotic applications","['Python', 'Robotics']","['TensorFlow', 'ROS']",Engineering,Hyderabad,Telangana,AI-Robotics,M.Tech
146,Event Management Intern,"Assist in the planning and execution of corporate events","['Organization', 'Communication']","['Vendor Management', 'Budgeting']",Management,Mumbai,Maharashtra,EventPro,BBA
147,Front-End Intern (Angular),"Build user interfaces for web applications using Angular","['HTML', 'CSS', 'JavaScript']","['Angular', 'TypeScript']",IT,Pune,Maharashtra,Angular Labs,B.Tech
148,Customer Support Intern,"Provide technical support to customers via chat and email","['Communication', 'Problem Solving']","['Zendesk', 'CRM Software']",Support,Remote,,Support Solutions,Any Graduate
149,Quantitative Research Intern,"Assist in developing and backtesting trading strategies","['Python', 'Statistics']","['Pandas', 'Financial Markets']",Finance,Mumbai,Maharashtra,AlgoQuant,M.Sc
150,User Research Intern,"Conduct user interviews and usability testing to gather feedback","['User Research', 'Empathy']","['Figma', 'Survey Design']",Design,Bangalore,Karnataka,UserCentric,B.Des
151,Embedded C Intern,"Develop and test firmware for embedded systems","['C', 'Microcontrollers']","['Embedded Linux', 'Debugging']",Electronics,Bangalore,Karnataka,EmbedTech,B.Tech
152,Digital Marketing Analyst Intern,"Analyze campaign performance and generate reports","['Google Analytics', 'Excel']","['SEO', 'PPC']",Marketing,Delhi,Delhi,Digital Sphere,BBA
153,Operations Management Intern,"Optimize operational processes and logistics","['Process Improvement', 'Excel']","['Lean Manufacturing', 'Supply Chain']",Management,Chennai,Tamil Nadu,OptiOps,MBA
154,Game Development Intern,"Assist in developing game assets and mechanics","['Unity', 'C#']","['Game Design', '3D Modeling']",IT,Remote,,Virtual Worlds,B.Tech
155,Social Work Intern,"Work with NGOs on community development projects","['Community Outreach', 'Empathy']","['Project Management', 'Research']",Social Work,Guwahati,Assam,Hope Foundation,MSW
156,Renewable Energy Intern (Solar),"Assist in designing and monitoring solar energy systems","['Solar Energy', 'Physics']","['AutoCAD', 'Data Analysis']",Engineering,Jaipur,Rajasthan,SunPower Solutions,B.E
157,Legal Intern (IP Law),"Conduct legal research on intellectual property rights","['Intellectual Property', 'Research']","['Patents', 'Copyrights']",Legal,Chennai,Tamil Nadu,IP Protect,LLB
158,Frontend Developer Intern (React),"Build responsive web applications using React","['React', 'JavaScript', 'HTML', 'CSS']","['Redux', 'API Integration']",IT,Hyderabad,Telangana,Reactify,B.Tech
159,E-commerce Operations Intern,"Manage online store operations, including inventory and order processing","['E-commerce Platforms', 'Attention to Detail']","['Excel', 'Supply Chain']",Marketing,Surat,Gujarat,EcomEdge,BBA
160,Data Engineering Intern,"Build data pipelines for ETL processes","['Python', 'SQL']","['Apache Spark', 'AWS']",IT,Bangalore,Karnataka,DataPipe,B.Tech
161,Product Design Intern,"Design user interfaces for a new software product","['UI/UX Design', 'Figma']","['Prototyping', 'User Research']",Design,Gurgaon,Haryana,DesignFirst,B.Des
162,Civil Engineering Intern,"Assist in site surveying and project documentation","['AutoCAD', 'Civil Engineering Basics']","['MS Project', 'Surveying']",Engineering,Bhubaneswar,Odisha,CityBuild,B.Tech
163,Financial Analyst Intern (FinTech),"Analyze financial data for a technology-focused company","['Excel', 'Data Analysis']","['SQL', 'Python']",Finance,Mumbai,Maharashtra,FinTech Innovators,B.Tech
164,UX Research Intern,"Plan and conduct usability tests and user interviews","['User Research', 'Empathy']","['Survey Design', 'Figma']",Design,Remote,,UserLogic,B.Des
165,Marketing Intern (Social Media),"Create engaging content and manage social media campaigns","['Social Media', 'Content Creation']","['Canva', 'Analytics']",Marketing,Mumbai,Maharashtra,BrandBuilders,B.A
166,DevOps Intern (Cloud),"Assist in managing and automating cloud infrastructure","['Linux', 'AWS']","['Terraform', 'Kubernetes']",IT,Pune,Maharashtra,CloudOps,B.Tech
167,Biotechnology Intern (Bioinformatics),"Analyze biological data using computational tools","['Python', 'Bioinformatics']","['R', 'SQL']",Research,Bangalore,Karnataka,BioData Labs,M.Sc
168,Recruitment Intern,"Source and screen candidates for various roles","['Communication', 'Sourcing']","['LinkedIn', 'ATS']",HR,Hyderabad,Telangana,Talent Scout,B.A
169,Electrical Engineering Intern,"Work on circuit design and hardware testing","['Circuit Design', 'Electronics']","['Altium', 'PSpice']",Engineering,Coimbatore,Tamil Nadu,Circuit Innovations,B.Tech
170,Market Research Intern (Tech),"Conduct market research for new technology products","['Research', 'Data Analysis']","['Survey Tools', 'Excel']",Marketing,Delhi,Delhi,Tech Insights,BBA
171,Full-Stack Developer Intern (MERN),"Develop end-to-end web applications with the MERN stack","['React', 'Node.js', 'MongoDB']","['Express.js', 'API Integration']",IT,Bangalore,Karnataka,WebCrafters,B.Tech
172,Social Media Intern (Analytics),"Analyze social media performance and create reports","['Social Media Analytics', 'Excel']","['Google Analytics', 'Data Studio']",Marketing,Delhi,Delhi,Insightful Media,BBA
173,Front-End Intern (UI/UX),"Translate design mockups into interactive web pages","['HTML', 'CSS', 'JavaScript']","['Figma', 'React']",IT,Navi Mumbai,Maharashtra,Interface Geniuses,B.Tech
174,Public Policy Intern,"Research and analyze public policy issues","['Research', 'Writing']","['Data Analysis', 'Policy']",Legal,Delhi,Delhi,Policy Research Group,LLB
175,Robotics Intern (Embedded),"Assist in the development of embedded systems for robotics","['C++', 'Microcontrollers']","['ROS', 'Embedded Linux']",Engineering,Pune,Maharashtra,RoboWorks,M.Tech
176,Journalism Intern (Investigative),"Assist in in-depth research for investigative reports","['Research', 'Fact-checking']","['Interviewing', 'Writing']",Media,Mumbai,Maharashtra,Truth Tellers,B.A
177,Sales Intern (Software),"Assist in sales and customer relationship management","['Communication', 'Sales Skills']","['CRM', 'Product Knowledge']",Sales,Pune,Maharashtra,SoftSell,BBA
178,Data Analyst Intern (Marketing),"Analyze marketing campaign data and consumer trends","['Data Analysis', 'SQL']","['Power BI', 'Google Analytics']",Analytics,Gurgaon,Haryana,MarketData,BBA
179,HR Intern (Operations),"Support daily HR operations and administrative tasks","['Communication', 'Excel']","['HRIS', 'Problem Solving']",HR,Kolkata,West Bengal,PeopleCare,B.A
180,UI Developer Intern,"Build user interfaces for web applications from design files","['HTML', 'CSS', 'JavaScript']","['React', 'Figma']",IT,Bangalore,Karnataka,UI-Craft,B.Tech
181,Financial Analyst Intern (Banking),"Assist in financial reporting and analysis for a bank","['Excel', 'Accounting']","['Bloomberg Terminal', 'Financial Modeling']",Finance,Mumbai,Maharashtra,Global Bank,MBA
182,Mechanical Engineering Intern (Automotive),"Assist in design and testing of automotive components","['CAD', 'Mechanical Engineering']","['SolidWorks', 'FEA']",Engineering,Chennai,Tamil Nadu,AutoTech,B.Tech
183,Social Media Intern (Video),"Create and edit short-form video content","['Video Editing', 'Creativity']","['Premiere Pro', 'After Effects']",Media,Hyderabad,Telangana,VisualPulse,B.A
184,Cloud Security Intern,"Assist in implementing security measures in cloud environments","['Cloud Basics', 'Security Fundamentals']","['AWS IAM', 'Linux']",IT,Chennai,Tamil Nadu,SecureCloud,B.Tech
185,Operations Intern (Retail),"Support retail operations and inventory management","['Customer Service', 'Excel']","['Retail Operations', 'Communication']",Management,Lucknow,Uttar Pradesh,RetailPro,BBA
186,Legal Intern (Tax Law),"Conduct legal research on tax regulations and assist in case preparation","['Tax Law', 'Research']","['Drafting', 'Compliance']",Legal,Delhi,Delhi,Tax Advisors,LLB
187,QA/Testing Intern,"Perform manual and automated testing on software products","['Testing Methodologies', 'Attention to Detail']","['Selenium', 'Jira']",IT,Pune,Maharashtra,Quality Assured,B.Tech
188,Marketing Intern (Digital),"Assist in managing SEO and content strategies","['SEO', 'Content Writing']","['WordPress', 'Google Analytics']",Marketing,Jaipur,Rajasthan,Digital Growth,BBA
189,Research Assistant (Chemistry),"Perform experiments and analyze data in a chemistry lab","['Chemistry', 'Lab Techniques']","['Data Analysis', 'Report Writing']",Research,Kanpur,Uttar Pradesh,ChemLabs,M.Sc
190,Backend Developer Intern (Python),"Build and maintain APIs using Python and Django","['Python', 'Django']","['REST APIs', 'PostgreSQL']",IT,Hyderabad,Telangana,Backend Masters,B.Tech
191,E-commerce Intern (Marketplace),"Manage product listings and promotions on various marketplaces","['Marketplace Management', 'Attention to Detail']","['Digital Marketing', 'Analytics']",Marketing,Surat,Gujarat,ShopMore,BBA
192,Public Relations Intern (Corporate),"Draft press releases and support corporate communication","['Communication', 'Writing']","['Crisis Management', 'Media Relations']",Marketing,Kolkata,West Bengal,CorpComm,B.A
193,Supply Chain Intern (Analytics),"Analyze supply chain data for logistics optimization","['Data Analysis', 'Excel']","['SQL', 'Tableau']",Management,Bangalore,Karnataka,LogiData,BBA
194,UI/UX Designer Intern (Mobile),"Design user interfaces for iOS and Android applications","['Figma', 'UI Design']","['Prototyping', 'User Research']",Design,Chennai,Tamil Nadu,AppDesign,B.Des
195,Financial Analyst Intern (Investments),"Assist in analyzing investment opportunities and preparing reports","['Financial Analysis', 'Excel']","['Bloomberg Terminal', 'Valuation']",Finance,Mumbai,Maharashtra,Wealth Managers,MBA
196,Mechanical Engineering Intern,"Work on thermal and fluid dynamics simulations","['FEA', 'CFD']","['Matlab', 'Ansys']",Engineering,Coimbatore,Tamil Nadu,ThermoFlow,M.Tech
197,Content Writer Intern (SEO),"Write SEO-optimized articles and blog posts","['Writing', 'SEO']","['Keyword Research', 'Editing']",Marketing,Jaipur,Rajasthan,Content Wizards,B.A
198,DevOps Intern (CI/CD),"Implement and manage continuous integration and deployment pipelines","['Git', 'Jenkins']","['Docker', 'Kubernetes']",IT,Pune,Maharashtra,DeployOps,B.Tech
199,HR Intern (Recruitment),"Screen resumes, conduct interviews, and manage candidate database","['Recruitment', 'Communication']","['ATS', 'Excel']",HR,Remote,,Talent Nexus,B.A
200,Data Analyst Intern (BI),"Build dashboards and reports using Business Intelligence tools","['Power BI', 'SQL']","['Tableau', 'Excel']",Analytics,Bangalore,Karnataka,BizIntel,B.Tech
201,Frontend Developer Intern (Vue.js),"Build and maintain user interfaces with Vue.js","['Vue.js', 'JavaScript', 'HTML', 'CSS']","['Nuxt.js', 'REST APIs']",IT,Bengaluru,Karnataka,VueCraft,B.Tech
202,Chemical Engineering Intern,"Assist in process design and simulation in a chemical plant","['Chemical Engineering', 'Process Flow Diagrams']","['Aspen Plus', 'MATLAB']",Engineering,Pune,Maharashtra,ChemInnovate,B.Tech
203,Data Analyst Intern,"Process and analyze large datasets to generate business insights","['SQL', 'Python']","['Tableau', 'Power BI']",Analytics,Hyderabad,Telangana,DataSphere Analytics,B.Tech
204,Public Relations Intern,"Draft press releases and manage media outreach for corporate clients","['Writing', 'Communication']","['Media Relations', 'Event Planning']",Marketing,Mumbai,Maharashtra,PR Solutions,B.A
205,Legal Intern (Environmental Law),"Research environmental regulations and assist in case documentation","['Environmental Law', 'Research']","['Drafting', 'Policy Analysis']",Legal,New Delhi,Delhi,Green Legal,LLB
206,Robotics Intern (AI),"Develop and train machine learning models for robotic navigation","['Python', 'Machine Learning']","['ROS', 'TensorFlow']",Engineering,Chennai,Tamil Nadu,RoboSense,M.Tech
207,Supply Chain Management Intern,"Optimize logistics and inventory management processes","['Analytical Skills', 'Excel']","['Supply Chain Software', 'SAP']",Management,Ahmedabad,Gujarat,LogiChain,MBA
208,UI/UX Designer Intern,"Design and prototype web and mobile application interfaces","['Figma', 'UI Design']","['User Research', 'Adobe XD']",Design,Gurgaon,Haryana,Pixel Labs,B.Des
209,Electrical Engineering Intern,"Work on circuit design, simulation, and testing","['Circuit Design', 'Electronics']","['SPICE', 'MATLAB']",Engineering,Coimbatore,Tamil Nadu,ElecTech,B.Tech
210,Content Marketing Intern,"Create SEO-optimized blog posts, articles, and social media content","['Content Writing', 'SEO']","['WordPress', 'Keyword Research']",Marketing,Jaipur,Rajasthan,Content Hub,B.A
211,HR Intern (Recruitment),"Assist in sourcing, screening, and scheduling interviews for various roles","['Recruitment', 'Communication']","['LinkedIn Recruiter', 'ATS']",HR,Pune,Maharashtra,People Connect,BBA
212,Financial Analyst Intern,"Assist in financial modeling, forecasting, and reporting","['Financial Modeling', 'Excel']","['Power BI', 'VBA']",Finance,Kolkata,West Bengal,FinSense,B.Com
213,Full-Stack Developer Intern (MEAN),"Develop end-to-end applications using the MEAN stack","['MongoDB', 'Express.js', 'Angular', 'Node.js']","['TypeScript', 'Git']",IT,Hyderabad,Telangana,FullStack Wizards,B.Tech
214,Biomedical Research Intern,"Conduct lab experiments and analyze data for medical device development","['Biology', 'Lab Techniques']","['Statistics', 'Data Analysis']",Research,Mumbai,Maharashtra,Medica Research,B.Sc
215,Game Development Intern,"Assist in building game mechanics and levels using Unreal Engine","['C++', 'Unreal Engine']","['3D Modeling', 'Game Design']",IT,Remote,,Gaming Frontier,B.Tech
216,Journalism Intern (Digital Media),"Write news articles for online platforms and manage a digital news desk","['Writing', 'Journalism']","['SEO', 'Social Media']",Media,New Delhi,Delhi,Digital Newsline,B.A
217,Operations Intern,"Support daily logistics and administrative tasks","['Organization', 'Communication']","['Excel', 'Project Management']",Management,Chennai,Tamil Nadu,Opus Corp,BBA
218,DevOps Intern,"Automate software deployment and infrastructure management","['Linux', 'Scripting']","['Docker', 'Kubernetes']",IT,Bangalore,Karnataka,DevOps Hub,B.Tech
219,Architectural Intern,"Assist in creating architectural drawings and presentations","['AutoCAD', '3D Modeling']","['Revit', 'Sketchup']",Design,Vadodara,Gujarat,Design Spectrum,B.Arch
220,Cloud Security Intern,"Assist in implementing security protocols in cloud environments","['Cloud Computing', 'Cybersecurity']","['AWS IAM', 'Linux']",IT,Noida,Uttar Pradesh,Secure Cloud,B.Tech
221,Mechanical Engineering Intern (Automotive),"Work on CAD designs and simulations for automotive parts","['SolidWorks', 'AutoCAD']","['FEA', 'GD&T']",Engineering,Chennai,Tamil Nadu,Auto Dynamics,B.Tech
222,Public Health Intern,"Assist in community health data collection and outreach programs","['Research', 'Communication']","['Data Analysis', 'Public Health']",Research,Bhubaneswar,Odisha,Health Connect,M.Sc
223,Digital Marketing Intern,"Manage social media campaigns and analyze digital marketing data","['Social Media Marketing', 'Google Analytics']","['SEO', 'Content Creation']",Marketing,Indore,Madhya Pradesh,AdVenture,BBA
224,Civil Engineering Intern,"Assist in construction site supervision and quality checks","['Site Supervision', 'Civil Engineering Basics']","['MS Project', 'AutoCAD']",Engineering,Patna,Bihar,City Builders,B.Tech
225,Robotics Process Automation (RPA) Intern,"Develop and test RPA bots to automate business tasks","['UiPath', 'RPA Basics']","['Python', 'Blue Prism']",IT,Kochi,Kerala,RPA Solutions,B.Tech
226,Finance Intern (Risk Management),"Assist in identifying and analyzing financial risks","['Risk Management', 'Excel']","['Quantitative Analysis', 'VBA']",Finance,Mumbai,Maharashtra,RiskWise,MBA
227,E-commerce Intern,"Manage product catalogs and optimize store performance on e-commerce platforms","['E-commerce Platforms', 'Attention to Detail']","['Digital Marketing', 'Analytics']",Marketing,Surat,Gujarat,ShopNow,BBA
228,AR/VR Developer Intern,"Develop interactive experiences using augmented and virtual reality technologies","['Unity', 'C#']","['3D Modeling', 'UX Design']",IT,Hyderabad,Telangana,Immerse Reality,B.Tech
229,Marketing Intern (Brand Management),"Support brand strategy development and market research","['Market Research', 'Creativity']","['PPT', 'Data Analysis']",Marketing,Kochi,Kerala,Brand Hub,B.A
230,Data Engineering Intern,"Build and maintain data pipelines for ETL processes","['Python', 'SQL']","['AWS', 'Spark']",IT,Bangalore,Karnataka,Data Flow,B.Tech
231,Environmental Science Intern,"Conduct field research and lab analysis of environmental samples","['Environmental Science', 'Lab Techniques']","['GIS', 'Data Analysis']",Research,Dehradun,Uttarakhand,Eco Earth,M.Sc
232,Blockchain Developer Intern,"Assist in the development of smart contracts and decentralized applications","['Solidity', 'Blockchain Basics']","['JavaScript', 'Truffle']",IT,Mumbai,Maharashtra,BlockChain Innovations,B.Tech
233,IT Support Intern,"Provide technical assistance to employees and troubleshoot hardware/software issues","['Troubleshooting', 'Communication']","['Windows/MacOS', 'Networking']",IT,Lucknow,Uttar Pradesh,Tech Aid,Any Graduate
234,Social Media Intern,"Create engaging content and manage social media communities","['Content Creation', 'Social Media Platforms']","['Canva', 'Analytics']",Marketing,Ahmedabad,Gujarat,Connect Social,BBA
235,Aerospace Engineering Intern,"Work on CAD designs and simulations for aerospace components","['CAD', 'Aerodynamics']","['Ansys', 'SolidWorks']",Engineering,Bengaluru,Karnataka,AeroTech,B.Tech
236,UI/UX Research Intern,"Conduct user interviews and usability tests to gather insights","['User Research', 'Empathy']","['Figma', 'Survey Design']",Design,Pune,Maharashtra,User Insights,B.Des
237,Investment Banking Intern,"Assist in preparing financial models and pitch books for corporate finance deals","['Financial Modeling', 'Excel']","['PowerPoint', 'Valuation']",Finance,Mumbai,Maharashtra,Merchant Banking Partners,MBA
238,Media Intern (Video Production),"Assist in shooting, editing, and producing video content","['Video Production', 'Video Editing']","['Adobe Premiere Pro', 'After Effects']",Media,Hyderabad,Telangana,Visuals Inc.,B.A
239,Backend Developer Intern (Java),"Develop and maintain APIs using Java and Spring Boot","['Java', 'Spring Boot']","['Microservices', 'Git']",IT,Hyderabad,Telangana,Java Solutions,B.Tech
240,Civil Engineering Intern (Water Resources),"Assist in projects related to water resource management","['Hydrology', 'GIS']","['AutoCAD', 'Data Analysis']",Engineering,Bhopal,Madhya Pradesh,AquaTech,B.Tech
241,Data Science Intern,"Work on natural language processing (NLP) and computer vision projects","['Python', 'Machine Learning']","['NLP', 'Computer Vision']",IT,Chennai,Tamil Nadu,AI-driven Insights,M.Tech
242,Digital Marketing Intern (SEO),"Optimize websites for search engines and perform keyword research","['SEO', 'Content Writing']","['Google Analytics', 'Ahrefs']",Marketing,Delhi,Delhi,SEO Experts,BBA
243,Supply Chain Intern,"Analyze logistics data to optimize shipping routes and costs","['Data Analysis', 'Excel']","['SQL', 'Supply Chain Software']",Management,Kolkata,West Bengal,SupplyChain Pro,MBA
244,Architecture Intern (Landscape),"Assist in designing and documenting landscape projects","['Landscape Design', 'AutoCAD']","['SketchUp', 'GIS']",Design,Chandigarh,Punjab,Green Spaces,B.Arch
245,Front-End Intern (React),"Develop user interfaces with React and Redux","['React', 'JavaScript', 'HTML', 'CSS']","['Redux', 'REST APIs']",IT,Bengaluru,Karnataka,React Innovations,B.Tech
246,Product Management Intern,"Conduct user research and help define product roadmaps","['Analytical Thinking', 'Communication']","['Figma', 'Agile Methodologies']",Management,Pune,Maharashtra,Product Labs,BBA
247,Legal Intern (Litigation),"Assist in legal research and drafting for court cases","['Legal Research', 'Drafting']","['Civil Procedure', 'Argumentation']",Legal,Mumbai,Maharashtra,Justice League,LLB
248,Robotics Intern,"Assist in building and programming robotic prototypes","['Python', 'Robotics Basics']","['ROS', 'C++']",Engineering,Coimbatore,Tamil Nadu,Robo Creators,B.Tech
249,Social Media Intern (Analytics),"Analyze social media campaign performance and create reports","['Social Media Analytics', 'Excel']","['Google Analytics', 'Data Studio']",Marketing,Hyderabad,Telangana,Social Metrics,B.A
250,Finance Intern (FinTech),"Work on developing features for financial technology products","['Python', 'Financial Knowledge']","['Java', 'SQL']",Finance,Mumbai,Maharashtra,FinTech Solutions,B.Tech
251,Embedded Systems Intern,"Work on firmware development and hardware testing","['C', 'Microcontrollers']","['Embedded Linux', 'Debugging']",Electronics,Bangalore,Karnataka,Embed Solutions,B.Tech
252,HR Intern (Operations),"Support daily HR operations including employee onboarding and record keeping","['Communication', 'Excel']","['HRIS', 'Problem Solving']",HR,Remote,,Talent Management,Any Graduate
253,Sales Intern,"Assist the sales team in lead generation and client outreach","['Communication', 'Sales Skills']","['CRM Software', 'Negotiation']",Sales,Pune,Maharashtra,Sales Experts,BBA
254,Frontend Intern (Angular),"Build user interfaces for web applications using Angular","['Angular', 'TypeScript']","['RxJS', 'NgRx']",IT,Hyderabad,Telangana,Angular Hub,B.Tech
255,Environmental Engineering Intern,"Assist in projects related to pollution control and waste management","['Environmental Science', 'Data Collection']","['GIS', 'AutoCAD']",Engineering,Bhubaneswar,Odisha,Clean Earth,B.E
256,Data Analyst Intern (FinTech),"Analyze financial data and build dashboards for a FinTech company","['SQL', 'Excel']","['Python', 'Power BI']",Analytics,Bengaluru,Karnataka,FinData,B.Tech
257,UI/UX Design Intern,"Create user-centered designs for web and mobile applications","['UI Design', 'Wireframing']","['Figma', 'Prototyping']",Design,Chennai,Tamil Nadu,User First,B.Des
258,Operations Intern (Retail),"Assist in store management, inventory control, and customer service","['Customer Service', 'Excel']","['Retail Operations', 'Communication']",Management,Lucknow,Uttar Pradesh,Urban Retail,BBA
259,Legal Intern (Corporate Law),"Draft legal documents and conduct due diligence for corporate transactions","['Corporate Law', 'Drafting']","['Legal Research', 'Communication']",Legal,Mumbai,Maharashtra,Corp Advisors,LLB
260,Civil Engineering Intern (Transportation),"Assist in projects related to road and highway design","['Transportation Engineering', 'AutoCAD']","['GIS', 'Surveying']",Engineering,Jaipur,Rajasthan,TranspoBuild,B.Tech
261,IT Support Intern,"Provide technical support to internal teams and troubleshoot IT issues","['Troubleshooting', 'Networking']","['Linux', 'Windows']",IT,Chennai,Tamil Nadu,Tech Support Plus,BCA
262,Quantitative Analyst Intern,"Develop and test quantitative models for financial markets","['Python', 'Statistics']","['C++', 'Financial Markets']",Finance,Mumbai,Maharashtra,Quant Capital,M.Sc
263,Biotechnology Intern (Genetics),"Work on genetic sequencing and molecular biology experiments","['Genetics', 'Molecular Biology']","['Data Analysis', 'PCR']",Research,Hyderabad,Telangana,GeneTech,M.Sc
264,Media Intern (Digital Content),"Create and edit video and graphic content for social media","['Video Editing', 'Graphic Design']","['Adobe Premiere Pro', 'Canva']",Media,Delhi,Delhi,Digital Creators,B.A
265,DevOps Intern (AWS),"Assist in deploying and managing applications on AWS cloud","['AWS', 'Linux']","['Docker', 'Kubernetes']",IT,Pune,Maharashtra,Cloud Deploy,B.Tech
266,Sales & Business Development Intern,"Identify new business opportunities and support the sales team","['Communication', 'Research']","['CRM', 'Presentation Skills']",Sales,Mumbai,Maharashtra,Biz Dev,BBA
267,Content Writing Intern (SEO),"Write and optimize content for search engines and websites","['Content Writing', 'SEO']","['Keyword Research', 'WordPress']",Marketing,Ahmedabad,Gujarat,Content Writers,B.A
268,Mechanical Engineering Intern (Thermal),"Work on thermal system design and analysis","['Thermodynamics', 'Heat Transfer']","['Ansys', 'MATLAB']",Engineering,Coimbatore,Tamil Nadu,Thermal Dynamics,B.Tech
269,Legal Intern (IP Law),"Conduct legal research on patents and trademarks","['Intellectual Property', 'Research']","['Drafting', 'Patent Filing']",Legal,Chennai,Tamil Nadu,IP Legal,LLB
270,Data Science Intern (Machine Learning),"Build and deploy machine learning models for predictive analytics","['Python', 'Machine Learning']","['Scikit-learn', 'TensorFlow']",IT,Bangalore,Karnataka,AI Solutions,M.Tech
