id,title,description,required_skills,preferred_skills,category,location,state,organization,education_requirement
271,Journalism Intern (Investigative),"Assist in research and fact-checking for investigative reports","['Research', 'Writing']","['Interviewing', 'Data Analysis']",Media,Mumbai,Maharashtra,Investigative News,B.A
272,HR Intern (Talent Acquisition),"Source candidates and manage the applicant tracking system","['Recruitment', 'Communication']","['ATS', 'LinkedIn']",HR,Remote,,Talent Search,BBA
273,Backend Developer Intern (Node.js),"Develop and maintain server-side applications using Node.js","['Node.js', 'JavaScript']","['Express.js', 'REST APIs']",IT,Pune,Maharashtra,NodeCraft,B.Tech
274,Public Relations Intern (Crisis),"Support crisis communication and media monitoring","['Communication', 'Writing']","['Media Monitoring', 'Crisis Management']",Marketing,Kolkata,West Bengal,Crisis PR,B.A
275,Operations Intern (Logistics),"Analyze logistics data and optimize supply chain routes","['Excel', 'Analytical Skills']","['SQL', 'Logistics Software']",Management,Hyderabad,Telangana,LogiOps,MBA
276,Financial Analyst Intern (Wealth Management),"Assist in client portfolio analysis and market research","['Financial Analysis', 'Excel']","['Bloomberg Terminal', 'Valuation']",Finance,Mumbai,Maharashtra,Wealth Solutions,MBA
277,Robotics Intern (Embedded),"Program microcontrollers and test sensors for robotic systems","['C', 'Microcontrollers']","['Arduino', 'ROS']",Engineering,Bengaluru,Karnataka,Embedded Robotics,B.Tech
278,Architecture Intern (Urban Planning),"Assist in urban design projects and data collection","['GIS', 'Urban Planning']","['AutoCAD', 'Research']",Design,Lucknow,Uttar Pradesh,Urban Design,M.Arch
279,UI/UX Designer Intern (Mobile),"Design user interfaces and create interactive prototypes for mobile apps","['Figma', 'Mobile UI Design']","['User Research', 'Prototyping']",Design,Ahmedabad,Gujarat,App Designers,B.Des
280,Data Analyst Intern (Marketing),"Analyze marketing campaign data and consumer behavior","['Data Analysis', 'SQL']","['Power BI', 'Google Analytics']",Analytics,Delhi,Delhi,Marketing Insights,BBA
281,Civil Engineering Intern (Structures),"Assist in structural analysis and design of buildings","['Structural Analysis', 'AutoCAD']","['STAAD.Pro', 'Revit']",Engineering,Bhubaneswar,Odisha,Structura,B.Tech
282,E-commerce Intern (SEO),"Optimize product listings and website content for search engines","['SEO', 'E-commerce Platforms']","['Google Analytics', 'Keyword Research']",Marketing,Surat,Gujarat,Ecom SEO,BBA
283,Backend Developer Intern (Python),"Build and maintain APIs using Python and Django Rest Framework","['Python', 'Django']","['REST APIs', 'PostgreSQL']",IT,Hyderabad,Telangana,Python Devs,B.Tech
284,Financial Analyst Intern (Banking),"Assist in credit analysis and financial due diligence","['Financial Analysis', 'Excel']","['Credit Risk', 'VBA']",Finance,Chennai,Tamil Nadu,Bankers Corp,MBA
285,Media Intern (Photography),"Capture and edit photos for corporate events and marketing materials","['Photography', 'Photo Editing']","['Lightroom', 'Photoshop']",Media,Goa,,Pixel Moments,B.A
286,DevOps Intern (CI/CD),"Implement and manage continuous integration and deployment pipelines","['Git', 'Jenkins']","['Docker', 'Ansible']",IT,Bangalore,Karnataka,CI/CD Solutions,B.Tech
287,Robotics Intern (ROS),"Develop and test robotic systems using ROS","['ROS', 'C++']","['Python', 'Linux']",Engineering,Pune,Maharashtra,Robo ROS,M.Tech
288,Product Management Intern,"Conduct competitive analysis and market research to define product strategy","['Market Research', 'Analytical Skills']","['Jira', 'Figma']",Management,Bengaluru,Karnataka,Product Innovators,B.Tech
289,Legal Intern (Compliance),"Assist in legal and regulatory compliance research","['Compliance', 'Research']","['Drafting', 'Corporate Law']",Legal,Kolkata,West Bengal,Legal Compliance,LLB
290,Social Media Intern (Content),"Create and schedule creative content for various social platforms","['Content Creation', 'Social Media']","['Canva', 'Adobe Creative Suite']",Marketing,Mumbai,Maharashtra,Social Creators,B.A
291,Data Analyst Intern (BI),"Build interactive dashboards and reports using BI tools","['Power BI', 'SQL']","['Tableau', 'Excel']",Analytics,Gurgaon,Haryana,BI Experts,BBA
292,Civil Engineering Intern,"Assist in site surveying and project documentation","['AutoCAD', 'Civil Engineering Basics']","['MS Project', 'Surveying']",Engineering,Bhubaneswar,Odisha,Build Right,B.Tech
293,IT Support Intern,"Provide technical support to employees and troubleshoot network issues","['Networking', 'Troubleshooting']","['Linux', 'Windows']",IT,Chennai,Tamil Nadu,Tech Solutions,BCA
294,UX Research Intern,"Plan and conduct user interviews and surveys for product development","['User Research', 'Empathy']","['Survey Design', 'Figma']",Design,Bengaluru,Karnataka,UX Insights,B.Des
295,Frontend Intern (Svelte),"Build user interfaces for web applications using Svelte","['JavaScript', 'HTML', 'CSS']","['Svelte', 'API Integration']",IT,Hyderabad,Telangana,Svelte Labs,B.Tech
296,Sales Intern (Software),"Assist in lead generation and customer relationship management","['Communication', 'Sales Skills']","['CRM', 'Product Knowledge']",Sales,Pune,Maharashtra,Sales Force,BBA
297,Electrical Engineering Intern (Power Systems),"Work on power systems design and analysis","['Power Systems', 'Circuitry']","['MATLAB', 'ETAP']",Engineering,Coimbatore,Tamil Nadu,Power Systems,M.Tech
298,Legal Intern (Banking Law),"Conduct legal research on banking regulations and contracts","['Banking Law', 'Research']","['Drafting', 'Compliance']",Legal,Mumbai,Maharashtra,Bank Legal,LLB
299,Marketing Intern (Digital Ads),"Manage and optimize Google Ads and social media ad campaigns","['Google Ads', 'Social Media Marketing']","['Google Analytics', 'PPC']",Marketing,Delhi,Delhi,AdVantage,BBA
300,Biotechnology Intern (Immunology),"Perform lab experiments and data analysis for immunology research","['Immunology', 'Lab Techniques']","['Flow Cytometry', 'ELISA']",Research,Pune,Maharashtra,ImmunoLabs,M.Sc
301,Full-Stack Intern (Python/React),"Develop full-stack web applications with Python/Django and React","['Python', 'React', 'Django']","['PostgreSQL', 'Docker']",IT,Bengaluru,Karnataka,Web Stack Innovations,B.Tech
302,Biomedical Engineering Intern (Prosthetics),"Assist in designing and testing prosthetic devices","['Biomedical Engineering', 'CAD']","['3D Printing', 'Material Science']",Engineering,Coimbatore,Tamil Nadu,Prosthetics Tech,M.Tech
303,Data Analyst Intern (Healthcare),"Analyze healthcare data to identify trends and improve patient outcomes","['SQL', 'Data Analysis']","['R', 'Tableau']",Analytics,Pune,Maharashtra,Health Metrics,B.Sc
304,Public Relations Intern (Social Impact),"Manage media relations for a non-profit organization","['Writing', 'Communication']","['Social Media', 'Community Outreach']",Marketing,Mumbai,Maharashtra,Impact PR,B.A
305,Legal Intern (Family Law),"Assist in legal research and drafting for family law cases","['Family Law', 'Research']","['Drafting', 'Client Communication']",Legal,Chennai,Tamil Nadu,Family Law Associates,LLB
306,Robotics Intern (Mechatronics),"Design and build mechatronic systems and robots","['Mechatronics', 'C++']","['SolidWorks', 'Arduino']",Engineering,Hyderabad,Telangana,MechaRobo,B.Tech
307,Supply Chain Intern (E-commerce),"Analyze logistics and inventory data for an e-commerce platform","['Excel', 'Analytical Skills']","['SQL', 'E-commerce Platforms']",Management,Delhi,Delhi,Ecom Logistics,BBA
308,UI/UX Designer Intern (FinTech),"Design user-friendly interfaces for a financial technology product","['Figma', 'UI/UX Design']","['User Research', 'Prototyping']",Design,Gurgaon,Haryana,FinUX,B.Des
309,Electrical Engineering Intern (Automation),"Work on industrial automation projects and PLC programming","['PLC Programming', 'Automation']","['AutoCAD Electrical', 'Robotics']",Engineering,Ahmedabad,Gujarat,AutoElec,B.Tech
310,Content Writing Intern (Technical),"Write technical articles, blog posts, and documentation","['Technical Writing', 'Research']","['SEO', 'WordPress']",Marketing,Pune,Maharashtra,TechWrite,B.Tech
311,HR Intern (Training & Development),"Assist in planning and executing employee training programs","['Communication', 'Training']","['Excel', 'Presentation Skills']",HR,Kolkata,West Bengal,Learn & Grow,BBA
312,Financial Analyst Intern (Real Estate),"Analyze market trends and financial data for real estate projects","['Real Estate Finance', 'Excel']","['Power BI', 'Financial Modeling']",Finance,Mumbai,Maharashtra,PropVest,MBA
313,Backend Intern (Go),"Develop and maintain server-side applications using Go","['Go', 'REST APIs']","['Gin Gonic', 'Docker']",IT,Bengaluru,Karnataka,GoLogic,B.Tech
314,Aerospace Engineering Intern (Structures),"Work on structural analysis and design for aircraft components","['Structural Analysis', 'CAD']","['Ansys', 'FEA']",Engineering,Hyderabad,Telangana,AeroStructures,M.Tech
315,Media Intern (Broadcast Journalism),"Assist in news reporting and production for a TV channel","['Journalism', 'Writing']","['Videography', 'Interviewing']",Media,New Delhi,Delhi,NewsFirst TV,B.A
316,Operations Intern (Hospitality),"Support various hotel departments, including front office and F&B","['Customer Service', 'Communication']","['Hotel Management Software', 'Multitasking']",Management,Jaipur,Rajasthan,Royal Stays,BHM
317,DevOps Intern (Azure),"Automate deployment and infrastructure management on Azure","['Azure', 'Scripting']","['Terraform', 'CI/CD']",IT,Chennai,Tamil Nadu,Azure Ops,B.Tech
318,Architectural Intern (Sustainable Design),"Assist in designing eco-friendly and sustainable buildings","['Sustainable Design', 'AutoCAD']","['Revit', 'LEED']",Design,Bhubaneswar,Odisha,EcoDesign,M.Arch
319,Cloud Computing Intern (GCP),"Deploy and manage applications on Google Cloud Platform","['GCP', 'Linux']","['Docker', 'Kubernetes']",IT,Hyderabad,Telangana,GCP Cloud,B.Tech
320,Sales Intern (FinTech),"Identify and onboard new clients for a financial technology product","['Communication', 'Sales Skills']","['FinTech Knowledge', 'CRM']",Sales,Mumbai,Maharashtra,FinSales,BBA
321,Environmental Science Intern (GIS),"Use GIS to analyze and map environmental data","['GIS Software', 'Data Analysis']","['ArcGIS', 'QGIS']",Research,Dehradun,Uttarakhand,GeoGreen,M.Sc
322,E-commerce Intern (SEO),"Optimize product listings and website content for search engines","['SEO', 'Content Writing']","['Google Analytics', 'Ahrefs']",Marketing,Surat,Gujarat,SEO Ecom,BBA
323,Civil Engineering Intern (Geotechnical),"Assist in soil testing and analysis for construction projects","['Geotechnical Engineering', 'Lab Techniques']","['AutoCAD', 'Report Writing']",Engineering,Kanpur,Uttar Pradesh,GeoStruct,B.Tech
324,Data Analyst Intern (Sports),"Analyze sports data and player performance metrics","['SQL', 'Data Analysis']","['Python', 'Tableau']",Analytics,Bengaluru,Karnataka,Sports Metrics,B.Tech
325,Social Media Marketing Intern,"Develop and execute social media campaigns for a lifestyle brand","['Social Media Marketing', 'Content Creation']","['Canva', 'Analytics']",Marketing,Goa,,Lifestyle Brands,B.A
326,Backend Developer Intern (PHP),"Build and maintain server-side applications using PHP","['PHP', 'MySQL']","['Laravel', 'REST APIs']",IT,Pune,Maharashtra,PHP Masters,B.Tech
327,Legal Intern (Criminal Law),"Assist in legal research and case preparation for criminal cases","['Criminal Law', 'Research']","['Drafting', 'Court Procedures']",Legal,Kolkata,West Bengal,Criminal Defense,LLB
328,Sales & Business Development Intern,"Support the sales team with lead generation and client communication","['Communication', 'Research']","['CRM Software', 'Pitching']",Sales,Mumbai,Maharashtra,Sales Hub,BBA
329,Media Intern (Animation),"Assist in creating 2D and 3D animations for various projects","['Animation', '3D Modeling']","['Blender', 'Adobe After Effects']",Media,Chennai,Tamil Nadu,Motion Studios,B.Des
330,Operations Intern (Manufacturing),"Assist in production planning and quality control","['Process Improvement', 'Excel']","['Lean Manufacturing', 'SAP']",Management,Vadodara,Gujarat,ManuOps,B.Tech
331,UX Researcher Intern,"Conduct user interviews and surveys to gather product feedback","['User Research', 'Empathy']","['Figma', 'Qualitative Analysis']",Design,Bangalore,Karnataka,User Journey,B.Des
332,Financial Analyst Intern (Asset Management),"Assist in research and analysis for investment portfolios","['Financial Analysis', 'Excel']","['Bloomberg Terminal', 'Valuation']",Finance,Mumbai,Maharashtra,Asset Solutions,MBA
333,Electrical Engineering Intern (Power Electronics),"Work on power electronics circuit design and testing","['Power Electronics', 'Circuitry']","['MATLAB', 'SPICE']",Engineering,Hyderabad,Telangana,PowerTech,M.Tech
334,Journalism Intern (Finance),"Cover financial markets and write articles on economic trends","['Writing', 'Financial Knowledge']","['Research', 'Data Analysis']",Media,Gurgaon,Haryana,Financial News,B.Com
335,Backend Developer Intern (Ruby on Rails),"Develop and maintain web applications using Ruby on Rails","['Ruby on Rails', 'REST APIs']","['Git', 'Heroku']",IT,Bengaluru,Karnataka,Rails Developers,B.Tech
336,Environmental Engineering Intern (Waste Management),"Assist in projects related to waste treatment and disposal","['Waste Management', 'Data Collection']","['GIS', 'Environmental Regulations']",Engineering,Jaipur,Rajasthan,Clean Environment,B.E
337,HR Intern (Employee Relations),"Support employee engagement initiatives and conflict resolution","['Communication', 'Problem Solving']","['HRIS', 'Excel']",HR,Pune,Maharashtra,People Relations,B.A
338,UI/UX Designer Intern (E-commerce),"Design user interfaces and user flows for an e-commerce website","['UI Design', 'Wireframing']","['Figma', 'A/B Testing']",Design,Mumbai,Maharashtra,Ecom Design,B.Des
339,Civil Engineering Intern (Transportation),"Assist in traffic studies and transportation planning","['Transportation Engineering', 'Data Analysis']","['GIS', 'AutoCAD']",Engineering,Lucknow,Uttar Pradesh,Traffic Planners,B.Tech
340,Data Science Intern (FinTech),"Build and deploy machine learning models for financial fraud detection","['Python', 'Machine Learning']","['TensorFlow', 'SQL']",IT,Mumbai,Maharashtra,FinData Science,M.Tech
341,Content Marketing Intern (Video),"Create and edit video content for social media and marketing campaigns","['Video Editing', 'Content Creation']","['Adobe Premiere Pro', 'Scriptwriting']",Marketing,Hyderabad,Telangana,Content Creators,B.A
342,Cloud Security Intern,"Assist in monitoring and responding to security incidents in a cloud environment","['Cloud Security', 'Linux']","['SIEM Tools', 'Python']",IT,Noida,Uttar Pradesh,SecureSphere,B.Tech
343,Operations Intern (Logistics),"Analyze logistics data and help optimize supply chain efficiency","['Excel', 'Analytical Skills']","['Logistics Software', 'SQL']",Management,Kolkata,West Bengal,LogiTech,MBA
344,Frontend Intern (Svelte),"Build user interfaces for web applications using Svelte","['Svelte', 'JavaScript', 'HTML', 'CSS']","['SvelteKit', 'API Integration']",IT,Jaipur,Rajasthan,Svelte Devs,B.Tech
345,Legal Intern (Compliance),"Conduct legal research on corporate governance and regulatory compliance","['Compliance', 'Research']","['Drafting', 'Legal Databases']",Legal,Delhi,Delhi,Compliance Advisors,LLB
346,Robotics Intern (AI),"Develop and test AI algorithms for autonomous systems","['Python', 'AI']","['ROS', 'Computer Vision']",Engineering,Bengaluru,Karnataka,RoboAI,M.Tech
347,Digital Marketing Intern (PPC),"Manage and optimize pay-per-click (PPC) ad campaigns","['PPC', 'Google Ads']","['Google Analytics', 'Data Analysis']",Marketing,Gurgaon,Haryana,AdMasters,BBA
348,Financial Analyst Intern (Corporate Finance),"Assist in financial reporting and analysis for corporate projects","['Financial Analysis', 'Excel']","['Financial Modeling', 'VBA']",Finance,Ahmedabad,Gujarat,CorpFin,MBA
349,Social Media Intern (Community Management),"Engage with and grow an online community on various social platforms","['Communication', 'Social Media']","['Customer Service', 'Content Creation']",Marketing,Pune,Maharashtra,Community Connect,B.A
350,Mechanical Engineering Intern (FEA),"Perform Finite Element Analysis (FEA) for product design","['FEA', 'SolidWorks']","['Ansys', 'Simulation']",Engineering,Coimbatore,Tamil Nadu,FEA Solutions,M.Tech
351,Data Analyst Intern (Healthcare),"Analyze electronic health records and other medical data","['SQL', 'Data Analysis']","['Python', 'Power BI']",Analytics,Hyderabad,Telangana,MediData,B.Sc
352,UI/UX Designer Intern (Gaming),"Design user interfaces and experiences for mobile games","['UI/UX Design', 'Gaming']","['Figma', 'Unity']",Design,Mumbai,Maharashtra,Game Design,B.Des
353,Civil Engineering Intern,"Assist in construction project management and site supervision","['Project Management', 'Site Supervision']","['MS Project', 'AutoCAD']",Engineering,Bhubaneswar,Odisha,Build-it,B.Tech
354,Backend Intern (Node.js),"Develop and maintain scalable server-side features","['Node.js', 'JavaScript']","['Express.js', 'PostgreSQL']",IT,Pune,Maharashtra,NodeLogic,B.Tech
355,Legal Intern (Banking Law),"Conduct legal research and assist in drafting contracts for banking sector","['Banking Law', 'Research']","['Drafting', 'Compliance']",Legal,Mumbai,Maharashtra,Banking Legal,LLB
356,HR Intern (Talent Acquisition),"Support the talent acquisition team with sourcing and screening candidates","['Recruitment', 'Communication']","['ATS', 'LinkedIn']",HR,Remote,,Talent Solutions,BBA
357,Sales Intern (Software),"Assist in sales demonstrations and client relationship management","['Communication', 'Presentation']","['CRM', 'Software Knowledge']",Sales,Chennai,Tamil Nadu,Soft Solutions,BBA
358,Frontend Intern (React Native),"Develop mobile applications with React Native","['React Native', 'JavaScript']","['Redux', 'API Integration']",IT,Bengaluru,Karnataka,React Native Apps,B.Tech
359,Environmental Engineering Intern (Air Quality),"Assist in projects related to air pollution monitoring and control","['Air Quality', 'Environmental Science']","['GIS', 'Data Analysis']",Engineering,Delhi,Delhi,AirSense,B.E
360,Data Science Intern (E-commerce),"Build predictive models to optimize sales and user behavior on an e-commerce platform","['Python', 'Machine Learning']","['SQL', 'Data Visualization']",IT,Hyderabad,Telangana,Ecom Data,M.Tech
361,Content Writer Intern (Creative),"Write creative content for marketing campaigns and social media","['Creative Writing', 'Writing']","['Editing', 'SEO']",Marketing,Ahmedabad,Gujarat,Creative Words,B.A
362,Cloud Computing Intern (AWS),"Deploy and manage cloud infrastructure using AWS services","['AWS', 'Linux']","['Docker', 'Terraform']",IT,Pune,Maharashtra,AWS Cloud,B.Tech
363,Operations Intern (Retail),"Assist in retail operations, including inventory management and customer service","['Retail Operations', 'Customer Service']","['Excel', 'Communication']",Management,Lucknow,Uttar Pradesh,Shop Smart,BBA
364,Legal Intern (IP Law),"Conduct research on intellectual property rights and assist in patent filing","['Intellectual Property', 'Research']","['Drafting', 'Patents']",Legal,Bengaluru,Karnataka,IP Protectors,LLB
365,Robotics Intern (Computer Vision),"Develop computer vision algorithms for robotic applications","['Python', 'Computer Vision']","['OpenCV', 'ROS']",Engineering,Hyderabad,Telangana,Visionary Robotics,M.Tech
366,Financial Analyst Intern (Equity Research),"Assist in analyzing public companies and preparing equity research reports","['Equity Research', 'Excel']","['Financial Modeling', 'Bloomberg']",Finance,Mumbai,Maharashtra,Equity Research,MBA
367,Journalism Intern (Investigative),"Assist in research and fact-checking for long-form investigative articles","['Research', 'Writing']","['Interviewing', 'Data Analysis']",Media,Mumbai,Maharashtra,Truthfinders,B.A
368,HR Intern (Analytics),"Analyze HR data to support strategic decision-making","['Data Analysis', 'Excel']","['Power BI', 'SQL']",HR,Delhi,Delhi,HR Metrics,MBA
369,Backend Developer Intern (Django),"Develop REST APIs using Django and Python","['Python', 'Django']","['PostgreSQL', 'Git']",IT,Hyderabad,Telangana,Django Devs,B.Tech
370,UI/UX Designer Intern (Mobile),"Design user interfaces and user flows for mobile applications","['Figma', 'UI Design']","['User Research', 'Prototyping']",Design,Bengaluru,Karnataka,Mobile UX,B.Des
371,Civil Engineering Intern (Structural),"Assist in structural analysis and design of high-rise buildings","['Structural Analysis', 'AutoCAD']","['Revit', 'ETABS']",Engineering,Chennai,Tamil Nadu,Structura Pro,B.Tech
372,Marketing Intern (Social Media Ads),"Manage paid social media campaigns on platforms like Facebook and Instagram","['Social Media Marketing', 'Digital Ads']","['Facebook Ads Manager', 'Analytics']",Marketing,Delhi,Delhi,Social Adverts,BBA
373,Data Analyst Intern (FinTech),"Analyze financial transaction data to build dashboards and reports","['SQL', 'Excel']","['Power BI', 'Python']",Analytics,Bengaluru,Karnataka,FinTech Data,B.Tech
374,Media Intern (Digital Marketing),"Assist in creating and managing digital marketing campaigns across platforms","['Digital Marketing', 'Content Creation']","['SEO', 'Google Analytics']",Marketing,Jaipur,Rajasthan,Digital Media,BBA
375,Frontend Intern (Angular),"Develop user interfaces for web applications using Angular","['Angular', 'TypeScript']","['RxJS', 'NgRx']",IT,Hyderabad,Telangana,Angular Solutions,B.Tech
376,Operations Intern (Logistics),"Support logistics operations, including inventory and dispatch management","['Logistics', 'Excel']","['Communication', 'Supply Chain Software']",Management,Bhubaneswar,Odisha,Logistics Pro,BBA
377,Legal Intern (Tax Law),"Conduct research on tax laws and assist in preparing legal opinions","['Tax Law', 'Research']","['Drafting', 'Compliance']",Legal,Mumbai,Maharashtra,Tax Advisors,LLB
378,Robotics Intern (ROS),"Assist in developing and testing robotic software using ROS","['ROS', 'Python']","['C++', 'Linux']",Engineering,Pune,Maharashtra,RoboSoft,M.Tech
379,UI/UX Research Intern,"Plan and conduct usability testing for a new software product","['User Research', 'Usability Testing']","['Figma', 'Survey Design']",Design,Pune,Maharashtra,User Flow,B.Des
380,Sales Intern (Pharmaceutical),"Assist in product detailing and sales for pharmaceutical products","['Pharmaceutical Knowledge', 'Communication']","['Sales Skills', 'Market Research']",Sales,Chandigarh,Punjab,Pharma Sales,B.Pharma
381,Backend Intern (Python/Flask),"Develop and maintain APIs using Python and Flask","['Python', 'Flask']","['SQLAlchemy', 'REST APIs']",IT,Hyderabad,Telangana,Flask Devs,B.Tech
382,Financial Analyst Intern (Corporate Finance),"Assist in preparing financial models and valuation reports","['Financial Analysis', 'Excel']","['Financial Modeling', 'PPT']",Finance,Delhi,Delhi,Corporate Fin,MBA
383,Content Writing Intern (Technical),"Write user manuals and technical documentation for software products","['Technical Writing', 'Clarity']","['Markdown', 'API Documentation']",IT,Noida,Uttar Pradesh,Tech Docs,B.Tech
384,E-commerce Intern (Marketplace),"Manage product listings and promotions on Amazon and Flipkart","['Marketplace Management', 'Attention to Detail']","['Digital Marketing', 'Analytics']",Marketing,Surat,Gujarat,Marketplace Experts,BBA
385,HR Intern (Talent Management),"Support employee engagement and performance management initiatives","['Communication', 'Problem Solving']","['Excel', 'HRIS']",HR,Bengaluru,Karnataka,Talent Growth,BBA
386,Civil Engineering Intern (Water Resources),"Assist in projects related to flood modeling and management","['Hydrology', 'GIS']","['HEC-RAS', 'AutoCAD']",Engineering,Bhopal,Madhya Pradesh,WaterTech,M.Tech
387,Data Analyst Intern (Supply Chain),"Analyze supply chain data to optimize logistics and inventory","['Data Analysis', 'Excel']","['SQL', 'Power BI']",Analytics,Pune,Maharashtra,Supply Data,MBA
388,Frontend Intern (Vue.js),"Build interactive web applications using Vue.js","['Vue.js', 'JavaScript', 'HTML', 'CSS']","['Vuex', 'Nuxt.js']",IT,Jaipur,Rajasthan,VueCraft,B.Tech
389,Legal Intern (Banking Law),"Conduct legal research on banking regulations and assist in drafting agreements","['Banking Law', 'Research']","['Drafting', 'Compliance']",Legal,Chennai,Tamil Nadu,Bank Legal,LLB
390,Robotics Intern (Embedded),"Program and test embedded systems for robotic applications","['C', 'Microcontrollers']","['ROS', 'Embedded Linux']",Engineering,Bengaluru,Karnataka,Robo Embed,B.Tech
391,Financial Analyst Intern (Private Equity),"Assist in due diligence and market research for private equity investments","['Financial Analysis', 'Excel']","['Valuation', 'Financial Modeling']",Finance,Mumbai,Maharashtra,Private Equity,MBA
392,Media Intern (Digital Marketing),"Manage and optimize social media ad campaigns","['Social Media Marketing', 'Digital Ads']","['Google Ads', 'Analytics']",Marketing,Delhi,Delhi,Digital Adverts,BBA
393,Backend Developer Intern (Node.js),"Develop and maintain REST APIs with Node.js and Express.js","['Node.js', 'Express.js']","['MongoDB', 'Docker']",IT,Pune,Maharashtra,API Craft,B.Tech
394,Legal Intern (Intellectual Property),"Conduct research on patents and trademarks and assist in legal filings","['Intellectual Property', 'Research']","['Drafting', 'Patent Law']",Legal,Hyderabad,Telangana,IP Legal,LLB
395,Operations Intern (Retail),"Assist in store operations, including inventory and sales analysis","['Retail Operations', 'Excel']","['Customer Service', 'Communication']",Management,Lucknow,Uttar Pradesh,Urban Retail,BBA
396,HR Intern (Recruitment),"Source candidates, screen resumes, and schedule interviews","['Recruitment', 'Communication']","['ATS', 'LinkedIn']",HR,Remote,,Recruiters Hub,BBA
397,Frontend Intern (React),"Build and maintain user interfaces with React and Redux","['React', 'JavaScript', 'HTML', 'CSS']","['Redux', 'API Integration']",IT,Hyderabad,Telangana,React Devs,B.Tech
398,Civil Engineering Intern,"Assist in site surveying and project documentation","['AutoCAD', 'Civil Engineering Basics']","['MS Project', 'Surveying']",Engineering,Bhubaneswar,Odisha,Build Solutions,B.Tech
399,Data Analyst Intern (BI),"Build interactive dashboards and reports using Tableau and Power BI","['Tableau', 'Power BI', 'SQL']","['Excel', 'Data Analysis']",Analytics,Bengaluru,Karnataka,BI Solutions,BBA
400,Robotics Intern (AI),"Develop and test AI models for robotic perception and control","['Python', 'Machine Learning']","['ROS', 'Computer Vision']",Engineering,Chennai,Tamil Nadu,AI Robotics,M.Tech